Card Number;Expiration Date;Card ID;Token ID;CBSCardNumber;Date;Time;MTI;TXN Condition;POS Entry Mode;PIN Capability;Orig TXN Amount;Orig TXN Curr;Auth Amount;Auth Curr;Reversal Amount;Reversal Curr;Reversal Reason;Resp code;Pin Ind;Auth ID;MCC;Acq ID;Country;City;Merchant Name;CAID;Source Reg Number;Terminal ID;Merchant Location;ATC;Terminal Capability Profile;Terminal Verification Results;Card Verification Results;Originator;Responder;Condition;Condition Details;Transaction Code;TRID;Wallet Identifier;TxRef;AuthRecordID;Auth Duration
546717******0815;2902;2459748710;;2459748710;2024-03-04;12:34:09;100;CARD PRESENT;01;0;          4.50;840;          4.50;840;-;-;;0;2;748715;6537;010980;KE;NAIROBI;MPTS;0072611009;O064070AOBFR;;NAIROBI;;00011000000004048500;;;MC;1; POS Key Entry;,POS,TERM,TERM_KEY_ENTRY,NO_CARD,NO_CARDHOLDER,MERCH,KEY_ENTRY,;TT0Q;;;;779742010;0.141
546717******0815;2902;2459748710;;2459748710;2024-03-04;12:34:09;100;MOTO;01;0;         11.00;840;         11.00;840;-;-;;0;2;748714;5045;010980;KE;NAIROBI;MPTS;0072611009;O064070AOBFO;;NAIROBI;;2033100000000404902101234;;;MC;1;Mail/Phone Order Single;,IMPRINTER,NO_TERM,PHONE,MOTO,NO_AUTH,NO_CARD,NO_CARDHOLDER,MERCH,KEY_ENTRY,;TR1Q;;;;779742000;0.279
546717******0815;2902;2459748710;;2459748710;2024-03-04;12:34:10;100;CARD PRESENT;01;2;          2.25;978;          2.70;840;-;-;;0;2;748716;5499;010517;DE;BERLIN;MPTS;0072611009;O064070AOBFU;;BERLIN;;0000000000200276902101234;;;MC;1; POS Key Entry;,POS,TERM,TERM_TRACK,TERM_KEY_ENTRY,CARD,CARDHOLDER,MERCH,KEY_ENTRY,;XX0X;;;;779742020;0.127
546717******0815;2902;2459748710;;2459748710;2024-03-04;12:34:11;100;ECOMMERCE;81;0;          2.99;840;          2.99;840;-;-;;0;2;748717;5045;010980;KE;NAIROBI;MPTS;0072611009;O064070AOBG1;;NAIROBI;;1025100006000404902101234;;;MC;1;El Comm Non-Secure w CVV2;,TERM_UNATT,TERM,ENET,NO_SECURE,LINE_INSECURE,CVC2,NO_CARD,NO_CARDHOLDER,NO_MERCH,;TR1Q;;;;779742040;0.141
546717******0815;2902;2459748710;;2459748710;2024-03-04;12:34:11;100;ECOMMERCE;81;0;          1.33;840;          1.33;840;-;-;;57;2;;6540;010980;KE;NAIROBI;MPTS;0072611009;O064070AOBG4;;NAIROBI;;1025100006000404902101234;;;MC;1;El Comm Non-Secure w CVV2;,TERM_UNATT,TERM,ENET,NO_SECURE,LINE_INSECURE,CVC2,NO_CARD,NO_CARDHOLDER,NO_MERCH,;XX0X;;;;779742050;0.115
546717******0815;2902;2459748710;;2459748710;2024-03-04;12:34:12;100;CARD PRESENT;05;1;         10.00;840;         10.00;840;-;-;;0;1;748718;6011;010980;KE;NAIROBI;MPTS ATM;0072611009;O064070AOBG7;76540022;NAIROBI;0002;101001000050040490210;0000040000;204000044000;MC;1;ATM Chip Full Grade;,ATM,TERM_UNATT,TERM,TERM_CHIP,TERM_TRACK,TERM_PIN,AUTHENTICATED,AUTH_AGENT,TRANS_AUTH,PBT,PBT_ONLINE,PBT_CRYPTO,CARD,CARDHOLDER,NO_MERCH,CARD_CHIP,CHIP_SVC,READ_CHIP,DATA_TRACK,DATA_CHIP,;TA1Q;;;;779742100;0.238
546717******0815;2902;2459748710;;2459748710;2024-03-04;12:34:12;100;CARD PRESENT;05;1;          9.90;978;         11.89;840;-;-;;0;1;748719;5999;010517;DE;BERLIN;MPTS;0072611009;O064070AOBGA;76540022;BERLIN;0003;10000000015002761111111111;0000040000;204000044000;MC;1;CAT PBT Chip Full Grade;,TERM_UNATT,CAT1,TERM,TERM_CHIP,TERM_TRACK,TERM_PIN,AUTHENTICATED,AUTH_AGENT,TRANS_AUTH,PBT,PBT_ONLINE,PBT_CRYPTO,CARD,CARDHOLDER,NO_MERCH,CARD_CHIP,CHIP_SVC,CPBL_OFFLINE_PIN,READ_CHIP,DATA_TRACK,DATA_CHIP,;TR1Q;;;;779742110;0.147
546717******0815;2902;2459748710;;2459748710;2024-03-04;12:34:13;100;CARD PRESENT;05;1;          5.00;840;          5.00;840;-;-;;0;1;748720;5999;010980;KE;NAIROBI;MPTS;0072611009;O064070AOBGD;76540022;NAIROBI;0004;000000000050040490210;0000000000;204000044000;MC;1;POS Chip PBT Full Grade;,POS,TERM,TERM_CHIP,TERM_TRACK,TERM_PIN,AUTHENTICATED,AUTH_AGENT,TRANS_AUTH,PBT,PBT_ONLINE,PBT_CRYPTO,CARD,CARDHOLDER,MERCH,CARD_CHIP,CHIP_SVC,CPBL_OFFLINE_PIN,READ_CHIP,DATA_TRACK,DATA_CHIP,;TB1Q;;;;779742120;0.163
546717******0815;2902;2459748710;;2459748710;2024-03-04;13:13:59;100;ECOMMERCE;81;0;          3.99;840;          3.99;840;-;-;;0;2;748721;6050;010980;KE;NAIROBI;MPTS;0072611009;O064070AOBJJ;;NAIROBI;;1025100006000404902101234;;;MC;1;El Comm Non-Secure w CVV2;,TERM_UNATT,TERM,ENET,NO_SECURE,LINE_INSECURE,CVC2,NO_CARD,NO_CARDHOLDER,NO_MERCH,;TU1Q;;;;779783990;0.475
546717******0815;2902;2459748710;;2459748710;2024-03-04;13:14:00;100;CARD PRESENT;05;1;          0.00;840;          0.00;840;-;-;;0;1;748723;6011;010980;KE;NAIROBI;MPTS ATM;0072611009;O064070AOBJP;76540022;NAIROBI;0005;00000000008004041111111111;0000000000;204000044000;MC;1;ATM Chip Full Grade;,ATM,TERM_UNATT,TERM,TERM_CHIP,TERM_KEY_ENTRY,TERM_PIN,AUTHENTICATED,AUTH_AGENT,TRANS_AUTH,PBT,PBT_ONLINE,PBT_CRYPTO,CARD,CARDHOLDER,NO_MERCH,CARD_CHIP,CHIP_SVC,READ_CHIP,DATA_TRACK,DATA_CHIP,;BQ;;;;779784020;0.436
